AEY,AKUREYRI,AKUREYRI,AKUREYRI/IS,AEY,Y,NULL,IS,EUROP,ITC2,IS,-18.08,65.65,69,N
AFA,SAN RAFAEL,SAN RAFAEL,SAN RAFAEL/MD/AR,AFA,Y,MD,AR,SAMER,ITC1,AR003,-68.4,-34.58,70,N
AFD,PORT ALFRED,PORT ALFRED,PORT ALFRED/ZA,AFD,Y,NULL,ZA,AFRIC,ITC2,ZA,26.88,-33.58,NULL,N
AFF,COLORADO SPRINGS,COLORADO SPRING,COLORADO SPRINGS/CO/US:USAF AC,COS,Y,CO,US,NAMER,ITC1,US108,-105.9,37.43,NULL,N
AFI,AMALFI,AMALFI,AMALFI/CO,AFI,Y,NULL,CO,SAMER,ITC1,CO132,-75.07,6.917,71,N
AFK,KONDAVATTAVAN,KONDAVATTAVAN,AMPARA/LK:KONDAVATTAVAN TANK,ADP,Y,NULL,LK,ASIA,ITC3,LK,81.64,7.292,NULL,N
AFL,ALTA FLORESTA,ALTA FLORESTA,ALTA FLORESTA/MT/BR,AFL,Y,MT,BR,SAMER,ITC1,BR018,-56.1,-9.85,NULL,N
AFN,JAFFREY,JAFFREY,JAFFREY/NH/US:MUNICIPAL,AFN,Y,NH,US,NAMER,ITC1,US105,-72,42.8,NULL,N
AFO,AFTON,AFTON,AFTON/WY/US:MUNICIPAL,AFO,Y,WY,US,NAMER,ITC1,US108,-110.9,42.72,72,N
AFR,AFORE,AFORE,AFORE/PG,AFR,Y,NULL,PG,AUSTL,ITC3,PG,148.4,-9.133,73,N
AFS,ZARAFSHAN,ZARAFSHAN,ZARAFSHAN/UZ,AFS,Y,NULL,UZ,EURAS,ITC3,UZ138,64.23,41.61,NULL,N
AFT,AFUTARA AERODROME,AFUTARA AERODRO,AFUTARA/SB:AFUTARA AERODROME,AFT,Y,NULL,SB,AUSTL,ITC3,SB,160.9,-9.183,NULL,N
AFW,DALLAS AFW,DALLAS AFW,DALLAS/TX/US:FT WORTH ALLIANCE,DFW,Y,TX,US,NAMER,ITC1,US107,-97.03,32.95,NULL,N
AFY,AFYON,AFYON,AFYON/TR,AFY,Y,NULL,TR,EURAS,ITC2,TR101,30.6,38.73,74,N
