#CODE_LIGNE^NOM^NATURE^LATITUDE (WGS84)^LONGITUDE (WGS84)
1000^Montaulin^Non exploitée^48.25903^4.19424
1000^Rouilly-St-Loup^Non exploitée^48.2614^4.15462
1000^Troyes^Desserte Fret-Desserte Voyageur-Infrastructure^48.29501^4.06542
1000^Barberey-St-Sulpice^Infrastructure^48.33523^4.02656
1000^St-Lyé^Non exploitée^48.35881^3.99915
1000^Payns^Non exploitée^48.3806^3.97391
1000^Savières^Non exploitée^48.40447^3.95085
1000^St-Mesmin^Desserte Fret-Infrastructure^48.43877^3.92572
1000^Vallant-St-Georges^Non exploitée^48.46607^3.89956
1000^Mesgrigny-Méry^Infrastructure^48.48674^3.88023
1000^Châtres (Aube)^Desserte Fret-Infrastructure^48.49911^3.85511
1000^Maizières-la-Grande-Paroisse^Infrastructure^48.50503^3.78599
1000^Romilly-sur-Seine^Desserte Fret-Desserte Voyageur-Infrastructure^48.51416^3.72834
1000^Crancey^Desserte Fret^48.51519^3.63979
1000^Pont-sur-Seine^Infrastructure^48.5141^3.59982
1000^Marnay-sur-Seine^Non exploitée^48.50941^3.56139
1000^Nogent-sur-Seine^Desserte Fret-Desserte Voyageur-Infrastructure^48.49784^3.49373
1000^Herme^Non exploitée^48.48425^3.35194
1000^Flamboin-Gouaix^Desserte Fret-Infrastructure^48.47231^3.2946
1000^Longueville (Seine-et-Marne)^Desserte Fret-Desserte Voyageur-Infrastructure^48.51237^3.25128
1000^Maison-Rouge-en-Brie^Desserte Fret^48.53632^3.14704
1000^Nangis^Desserte Fret-Desserte Voyageur-Infrastructure^48.56127^3.0129
1000^Grandpuits^Desserte Fret-Infrastructure^48.58981^2.96923
1000^Grandpuits-Bagneux^Desserte Fret^48.59801^2.94049
1000^Mormant^Desserte Voyageur-Infrastructure^48.61392^2.88857
1000^Verneuil-l'Étang^Desserte Fret-Desserte Voyageur-Infrastructure^48.64469^2.82493
1000^Ozouer-le-Voulgis^Infrastructure^48.66571^2.78203
1000^Villepatour-Presles^Non exploitée^48.69665^2.74369
1000^Gretz-Armainvilliers^Desserte Fret-Desserte Voyageur-Infrastructure^48.74533^2.72865
1000^Ozoir-la-Ferrière^Desserte Voyageur^48.77052^2.69042
1000^Roissy-en-Brie^Desserte Voyageur^48.79549^2.65095
1000^Émerainville-Pontault-Combault^Desserte Fret-Desserte Voyageur-Infrastructure^48.80666^2.6174
1000^Les Yvris-Noisy-le-Grand^Desserte Voyageur^48.82352^2.57932
1000^Villiers-sur-Marne^Desserte Voyageur-Infrastructure^48.82328^2.54256
1000^Les Boullereaux-Champigny^Desserte Voyageur^48.82493^2.51125
1000^Nogent-Le Perreux^Desserte Fret-Desserte Voyageur-Infrastructure^48.83844^2.49436
1000^Val-de-Fontenay^Desserte Voyageur^48.85422^2.4892
1000^Rosny-sous-Bois^Desserte Voyageur^48.87039^2.48568
1000^Rosny-Bois-Perrier^Desserte Voyageur^48.88246^2.48108
1000^Noisy-le-Sec^Desserte Fret-Desserte Voyageur-Infrastructure^48.89667^2.46039
1000^Pantin^Desserte Fret-Desserte Voyageur-Infrastructure^48.89807^2.40028
1000^Paris-La Villette-Hébert^Desserte Fret^48.89353^2.36878
1000^Paris-Est^Desserte Voyageur-Infrastructure^48.87755^2.35916
65000^Gerbéviller^Non exploitée^48.49296^6.50897
30000^Mirecourt^Desserte Voyageur-Infrastructure^48.2997^6.12877
67000^Baccarat^Desserte Voyageur-Infrastructure^48.45226^6.74405
161000^Kalhausen^Desserte Voyageur-Infrastructure^49.03533^7.12525
329000^Valmondois^Desserte Voyageur-Infrastructure^49.09159^2.202
119000^Gunsbach-Griesbach^Desserte Voyageur^48.04156^7.17486
119000^Munster^Desserte Voyageur-Infrastructure^48.03824^7.13283
330000^Chars^Desserte Fret-Desserte Voyageur-Infrastructure^49.16276^1.93671
159000^Gundershoffen^Desserte Fret-Desserte Voyageur-Infrastructure^48.90524^7.65325
231000^Barbery^Non exploitée^49.21819^2.69969
322000^Longpré-les-Corps-Saints^Desserte Voyageur-Infrastructure^50.0113^2.00306
232000^Ormoy-Villers^Desserte Fret-Desserte Voyageur-Infrastructure^49.20089^2.83803
180000^Hettange-Grande^Desserte Fret-Desserte Voyageur^49.40817^6.15601
106000^La Forge^Non exploitée^48.69893^7.02485
251000^Rieux (Nord)^Non exploitée^50.19893^3.34165
321000^Fouilloy^Desserte Voyageur^49.73649^1.82565
146000^Walbourg^Desserte Voyageur^48.88584^7.80915
236000^Mennevret^Non exploitée^49.98287^3.56122
205000^Lafrancheville^Non exploitée^49.72814^4.71428
111000^Goxwiller^Desserte Voyageur-Infrastructure^48.43258^7.47869
111000^Bischoffsheim^Desserte Voyageur^48.48678^7.49779
168000^Bischtroff-sur-Sarre^Non exploitée^48.90344^7.07349
202100^Rodange^Desserte Voyageur^49.54335^5.8108
232000^Béthisy-St-Pierre^Non exploitée^49.29693^2.79681
261000^La Fère^Desserte Voyageur^49.65783^3.36874
232000^Estrées-St-Denis^Desserte Fret-Desserte Voyageur-Infrastructure^49.43788^2.64271
205000^Nouzonville^Desserte Fret-Desserte Voyageur-Infrastructure^49.81219^4.74271
272000^Brebières^Desserte Voyageur^50.33635^3.01369
180000^Maizières-lès-Metz^Desserte Voyageur^49.21555^6.15822
236000^Tupigny^Non exploitée^49.95911^3.59591
180000^Bettembourg^Desserte Voyageur^49.47187^6.10787
304000^Offekerque^Non exploitée^50.95246^2.01533
334900^Colombes^Desserte Voyageur^48.92394^2.25898
321000^Gaillefontaine^Non exploitée^49.62695^1.62222
253000^Douzies^Desserte Fret-Infrastructure^50.27522^3.92971
289000^Lille CHR^Desserte Voyageur^50.61462^3.03485
236000^La Ferté-Chevresis^Infrastructure^49.73854^3.55565
205000^Bogny-sur-Meuse^Desserte Voyageur-Infrastructure^49.85845^4.76338
321000^Montérolier-Buchy^Desserte Voyageur-Infrastructure^49.60334^1.33607
168000^Berthelming^Desserte Voyageur-Infrastructure^48.81201^7.00791
289000^Auxi-le-Château^Non exploitée^50.22613^2.11935
267000^Vicoigne^Non exploitée^50.3985^3.47875
259000^Roye (Somme)^Desserte Fret-Infrastructure^49.70507^2.78664
286000^Bauvin-Provin^Desserte Voyageur^50.51167^2.90504
278000^Croix-l'Allumette^Desserte Voyageur^50.6866^3.15061
205000^Laifour^Desserte Voyageur^49.9115^4.69286
100000^Guebling^Non exploitée^48.86916^6.73372
205000^Ciry-Sermoise^Desserte Fret-Infrastructure^49.37019^3.46759
317000^La Rue-St-Pierre^Infrastructure^49.41168^2.31459
