#Nom de la gare^Type^Région^Latitude^Longitude
Beau-Marais^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.94553^1.89980
Beaumont-le-Roger^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.07442^0.77228
Beaune^Gare Ferroviaire de Voyageurs^Bourgogne^47.02303^4.84873
Beaurainville^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.42263^1.89542
Beautiran^Gare Ferroviaire de Voyageurs^Aquitaine^44.70139^-0.45090
Beauvais^Gare Ferroviaire de Voyageurs^Picardie^49.42623^2.08794
Beauvoir-sur-Niort^Gare Ferroviaire de Voyageurs^Poitou-Charentes^46.17670^-0.46915
Beauvoisin^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^43.72494^4.32205
Beauzac^Gare Ferroviaire de Voyageurs^Auvergne^45.23567^4.09426
Bécon-les-Bruyères^Gare Ferroviaire de Voyageurs^Ile de France^48.90583^2.26831
Bédarieux^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^43.60507^3.14761
Bédarrides^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^44.04274^4.89372
Bedous^Gare Ferroviaire de Voyageurs^Aquitaine^43.00056^-0.60111
Bègles^Gare Ferroviaire de Voyageurs^Aquitaine^44.79978^-0.55533
Beillant^Gare Ferroviaire de Voyageurs^Poitou-Charentes^45.70096^-0.52729
Reims-Beine-Farman^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^49.24397^4.07097
Beinheim^Gare Ferroviaire de Voyageurs^Alsace^48.87411^8.07885
Belfort^Gare Ferroviaire de Voyageurs^Franche-Comté^47.63251^6.85414
Bellac^Gare Ferroviaire de Voyageurs^Limousin^46.12556^1.04633
Bellegarde (Ain)^Gare Ferroviaire de Voyageurs^Rhône-Alpes^46.11006^5.82360
Belle-Isle-Bégard^Gare Ferroviaire de Voyageurs^Bretagne^48.59335^-3.32310
Bellenaves^Gare Ferroviaire de Voyageurs^Auvergne^46.19954^3.06660
Belleville^Gare Ferroviaire de Voyageurs^Lorraine^48.81945^6.10171
Belleville-sur-Saône^Gare Ferroviaire de Voyageurs^Rhône-Alpes^46.11175^4.72859
Belleville-Vendée^Gare Ferroviaire de Voyageurs^Pays de la Loire^46.78826^-1.43463
Bellevue^Gare Ferroviaire de Voyageurs^Ile de France^48.81877^2.23010
Bellignat^Gare Ferroviaire de Voyageurs^Rhône-Alpes^46.23879^5.63017
Belloy-St-Martin^Gare Ferroviaire de Voyageurs^Ile de France^49.09833^2.36124
Belvès^Gare Ferroviaire de Voyageurs^Aquitaine^44.77730^1.01190
Belvezet^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^44.56186^3.75189
Belz-Ploemel^Gare Ferroviaire de Voyageurs^Bretagne^47.65250^-3.07222
Béna-Fanès^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^42.45797^1.91803
Bénesse-Maremne^Gare Ferroviaire de Voyageurs^Aquitaine^43.62761^-1.37029
Bénestroff^Gare Ferroviaire de Voyageurs^Lorraine^48.90622^6.75063
Benfeld^Gare Ferroviaire de Voyageurs^Alsace^48.37380^7.58438
Bengy^Gare Ferroviaire de Voyageurs^Centre^47.00009^2.74970
Béning^Gare Ferroviaire de Voyageurs^Lorraine^49.13814^6.82789
Bergerac^Gare Ferroviaire de Voyageurs^Aquitaine^44.85728^0.48877
Bergues^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.96846^2.42577
Berguette-Isbergues^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.61495^2.46296
Berlaimont^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.19768^3.81062
Bernay^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.08699^0.59573
Berre^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.50088^5.17891
Bersac^Gare Ferroviaire de Voyageurs^Limousin^46.08370^1.43203
Berthelming^Gare Ferroviaire de Voyageurs^Lorraine^48.81082^7.00654
Bertrichamps^Gare Ferroviaire de Voyageurs^Lorraine^48.42849^6.79128
Bertry^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.09099^3.44899
Besançon-Mouillère^Gare Ferroviaire de Voyageurs^Franche-Comté^47.24093^6.03406
Besançon-Viotte^Gare Ferroviaire de Voyageurs^Franche-Comté^47.24721^6.02158
Beslé^Gare Ferroviaire de Voyageurs^Pays de la Loire^47.69920^-1.87028
Bessancourt^Gare Ferroviaire de Voyageurs^Ile de France^49.03546^2.21027
Bessay^Gare Ferroviaire de Voyageurs^Auvergne^46.44293^3.36058
Bessèges^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^44.29680^4.09279
Bétaille^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^44.94254^1.73453
Béthune^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.52072^2.64167
Betton^Gare Ferroviaire de Voyageurs^Bretagne^48.18175^-1.63413
Beuvrages^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.38960^3.50662
Beuvry (Pas-de-Calais)^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.53582^2.69170
Beynes^Gare Ferroviaire de Voyageurs^Ile de France^48.85965^1.87575
Beynost^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.83385^5.00680
Béziers^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^43.33627^3.21899
Biache-St-Vaast^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.31664^2.94200
Biarritz^Gare Ferroviaire de Voyageurs^Aquitaine^43.45922^-1.54549
Bibliothèque-François-Mitterrand^Gare Ferroviaire de Voyageurs^Ile de France^48.82874^2.37794
Bièvres^Gare Ferroviaire de Voyageurs^Ile de France^48.75124^2.21556
Biffontaine^Gare Ferroviaire de Voyageurs^Lorraine^48.20581^6.80674
Bigny^Gare Ferroviaire de Voyageurs^Centre^46.80104^2.36941
Billy-Montigny^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.41531^2.91167
Biot^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.61139^7.12667
Bischheim^Gare Ferroviaire de Voyageurs^Alsace^48.61124^7.74123
Bischoffsheim^Gare Ferroviaire de Voyageurs^Alsace^48.48680^7.49781
Bischwiller (Bas-Rhin)^Gare Ferroviaire de Voyageurs^Alsace^48.76541^7.85116
Bitche^Gare Ferroviaire de Voyageurs^Lorraine^49.04843^7.43258
Bitschwiller (Haut-Rhin)^Gare Ferroviaire de Voyageurs^Alsace^47.82815^7.07818
Blainville-Damelevières^Gare Ferroviaire de Voyageurs^Lorraine^48.56405^6.38827
Blaisy-Bas^Gare Ferroviaire de Voyageurs^Bourgogne^47.37324^4.74138
Blangy-sur-Bresle^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.93302^1.62482
Blangy-sur-Ternoise^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.42336^2.16944
Blanquefort^Gare Ferroviaire de Voyageurs^Aquitaine^44.91761^-0.62355
Blanzy^Gare Ferroviaire de Voyageurs^Bourgogne^46.70211^4.40073
Blanzy-Canal^Gare Ferroviaire de Voyageurs^Bourgogne^46.69399^4.39221
Blaye^Gare Ferroviaire de Voyageurs^Aquitaine^45.12794^-0.66351
Bléré-la-Croix^Gare Ferroviaire de Voyageurs^Centre^47.33810^0.98632
Blesme-Haussignemont^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^48.72154^4.75259
Blois^Gare Ferroviaire de Voyageurs^Centre^47.58555^1.32353
Blonville-sur-Mer-Benerville^Gare Ferroviaire de Voyageurs^Basse-Normandie^49.33123^0.03536
Boën^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.74160^4.00444
Bogny-sur-Meuse^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^49.85845^4.76338
Bohain^Gare Ferroviaire de Voyageurs^Picardie^49.98859^3.44263
Boigneville^Gare Ferroviaire de Voyageurs^Ile de France^48.34161^2.37879
