#UIC_CODE,DESCRIPTION,NLS_CODE,PHYSICAL,
8714155,PIERREVILLE,FRATA,Y
8714156,PULLIGNY AUTREY,FRATB,Y
8714157,CEINTREY,FRATC,Y
8714159,TANTONVILLE,FRATE,Y
8714160,VEZELISE,FRATF,Y
8714162,PRAYE SOUS VAUDEMONT,FRATH,Y
8714164,DIARVILLE,FRATJ,Y
8714170,DOMGERMAIN,FRATN,Y
8714171,CHARMES LA COTE,FRATO,Y
8714172,BLENOD LES TOUL,FRATP,Y
8714173,BULLIGNY CREZILLES,FRATQ,Y
8714175,BARISEY LA COTE,FRATR,Y
8714178,POMPEY,FRATS,Y
8714179,MARBACHE,FRATT,Y
8714180,BELLEVILLE MEURTHE ET MOSELLE,FRATU,Y
8714181,DIEULOUARD,FRATV,Y
8714182,PONT A MOUSSON,FRATW,Y
8714200,CHAUMONT,FRXCW,Y
8714204,LUZY SUR MARNE,FRATZ,Y
8714209,LANGRES,FRLAG,Y
8714210,LORRAINE TGV,FREAM,Y
8714212,CULMONT CHALINDREY,FRCCY,Y
8714213,CHAUDENAY,FRAUE,Y
8714214,HORTES,FRAUF,Y
8714215,CHARMOY FAYL BILLOT,FRAUG,Y
8714216,LAFERTE SUR AMANCE,FRAUI,Y
8714217,VITREY VERNOIS,FRAUJ,Y
8714218,BARGES,FRAUK,Y
8714222,BOLOGNE,FRAUP,Y
8714223,VIGNORY,FRAUQ,Y
8714224,FRONCLES,FRAUS,Y
8714226,GUDMONT,FRAUT,Y
8714227,DONJEUX,FRAUU,Y
8714236,ANDILLY HAUTE MARNE,FRADY,Y
8714240,MERREY,FRMRY,Y
8714249,DAMBLAIN,FRAVL,Y
8714255,CHATILLON SUR SEINE,FRAVM,Y
8714259,HEUILLEY COTTON,FRAVQ,Y
8714261,PRAUTHOY,FRAVS,Y
8714262,VAUX SOUS AUBIGNY,FRAVU,Y
8714263,OCCEY,FRAVV,Y
8714264,SELONGEY,FRAVW,Y
8714265,VIOLOT,FRAVX,Y
8714266,MAATZ,FRAVY,Y
8714268,CHAMPLITTE,FRAVZ,Y
8714269,NEUVELLE LES CHAMPLITTE,FRAWA,Y
8714270,OYRIERES,FRAWB,Y
8714271,CHARGEY LES GRAY,FRAWC,Y
8714278,TILCHATEL,FRAWE,Y
8714289,VELLES,FRAWG,Y
8714302,VRAINCOURT VIEVILLE,FRAWI,Y
8714310,LE PAILLY,FRAWM,Y
8714320,RIVIERES LE BOIS,FRAWN,Y
8714321,GRANDCHAMP,FRAWO,Y
8714322,LEFFOND,FRAWP,Y
8714323,MONTARLOT,FRAWQ,Y
8714330,ARC LES GRAY,FRFMU,Y
8714335,COUBLANC,FRAXA,Y
8714336,ECUELLE,FRAXB,Y
8714337,CORGIRNON,FRAXC,Y
8714338,ROUGEUX,FRAXD,Y
8714339,MAIZIERES SUR AMANCE,FRAXE,Y
8714340,BALESMES SUR MARNE,FRAXF,Y
8714342,DAMPIERRE SUR SALON,FRFJD,Y
8714359,ROVILLE AUX CHENES,FRAXJ,Y
8714400,EPINAL,FREPL,Y
8714401,ST DIE DES VOSGES,FRXTD,Y
8714403,DOCELLES CHENIMENIL,FRAXM,Y
8714404,LEPANGES,FRAXN,Y
8714405,CHARMES VOSGES,FRAXO,Y
8714406,VINCEY,FRAXP,Y
8714407,CHATEL NOMEXY,FRAXQ,Y
8714408,IGNEY,FRAXR,Y
8714409,THAON,FRAXS,Y
8714410,RAVES BAN DE LAVELINE,FRAXT,Y
8714412,XERTIGNY,FRAXU,Y
8714414,BAINS LES BAINS,FRAXW,Y
8714415,BRUYERES,FRBUY,Y
8714416,LAVELINE DEVANT BRUYERES,FRAXX,Y
8714418,BIFFONTAINE,FRAXZ,Y
8714419,CORCIEUX VANEMONT,FRAYA,Y
8714420,POUSSAY,FRAYB,Y
8714421,MIRECOURT,FRAYC,Y
8714422,HYMONT MATTAINCOURT,FRHAY,Y
8714427,VITTEL,FRVTL,Y
8714428,CONTREXEVILLE,FRAYG,Y
8714429,MARTIGNY LES BAINS,FRAYH,Y
8714430,LAMARCHE,FRAYI,Y
8714431,ROZIERES SUR MOUZON,FRAYJ,Y
8714432,LESSEUX FRAPELLE,FRLEF,Y
8714434,PROVENCHERES SUR FAVE,FRAYL,Y
8714438,COLROY LUBINE,FRAYP,Y
8714441,ARCHES,FRARH,Y
8714442,POUXEUX,FRAYR,Y
8714443,ELOYES,FRAYS,Y
