#office_id	name
VNOLJ2801	BALTIC CLIPPER -INTERNET
TLLEE28BB	BALTIC TOURS
VNOLJ2803	BALTIC TOURS
BCNBC2535	BARCELO
BCNBD2180	BARCINO
PHL6B2100	BARCLAY TRAVEL
MUCER28AU	BAVARIA-LLOYD REISEBUERO GMBH
GRQN22101	BBI TRAVEL
ANRBB28AB	BCD TRAVEL
BRUBB28BJ	BCD TRAVEL
BRUBB28BK	BCD TRAVEL
LUXBB28TQ	BCD TRAVEL
BRUBG28BT	BCD TRAVEL
BRUBB28BX	BCD TRAVEL
CPHDT28AB	BCD TRAVEL
PARHL2136	BCD TRAVEL
BREHL2177	BCD TRAVEL
BREHL28CD	BCD TRAVEL
VIEHL218H	BCD TRAVEL
HAMHL21DA	BCD TRAVEL
STRHL21GS	BCD TRAVEL
ZRHHL21SA	BCD TRAVEL
MHGHL2168	BCD TRAVEL
BRUBG28BB	BCD TRAVEL
HAGQT38AA	BCD TRAVEL
UTCQT38AB	BCD TRAVEL
ZRHHL28AC	BCD TRAVEL
LONU1215A	BEACHCOMBER TOURS
MIA1S38AD	BEACON CENTER TRAVEL, INC
USHG128AB	BEAGLE VIAJES
CGNON28AA	CHEAPTICKETS
GLZON28AA	CHEAPTICKETS
BRUBG28BZ	BELGIUM NMC DEMO
BUDHU28AH	BELL HOUSE ITB UTAZASI IRODA
OSLBA28AJ	BENNETT FERIE ONLINE
OSLBE2602	BERG-HANSEN
OSLBE28AA	BERG-HANSEN
OSLBE28AT	BERG-HANSEN
LIMPE28BB	BEST WAY REPRESENTACIONES
KULMY28A1	BESTOUR & TRAVEL (M) SDN BHD
AARVT3161	BESTSELLER C/O VEJLE REJSER
CPHFX38MO	BIG TRAVEL DENMARK A/S
MMAFX38AA	BIG TRAVEL SWEDEN AB - TOUR OPERATOR
VNOLJ2808	BILIETAI.LT
LCJC328AA	BIS BIURO PODROZY LCC A. SZULC SP. JAWNA
POZC328AD	BIURO PODROZY ERCOM
WAWPQ28BG	BIURO PODROZY JANUS
WAWPQ28AU	BIURO TURYSTYCZNE UNI-TUR JACEK POPCZYNS
SZZC328AA	BIURO TURYSTYKI OLTOUR LUFTHANSA CITY CE
LYSSR210Z	BLEU VOYAGES
LYSSR28AD	BLEU VOYAGES
POZPQ28AB	BLUE SKY TRAVEL
KRKC328AA	BOCHO & BOCHO
BOS1S38C2	BOEHM TRAVEL COMPANIES- BOEHM
TLLEE28AB	BOOKINGHOUSE
SNAAG311W	BOYD CRUISE & TOUR, INC.
VNOLJ2807	BPC-INTERNET
WAWPQ28AS	BPIT ALMATUR
GOTFS28AB	BROSTROMS RESEBYRA - ALVSTRANDEN
BRUER2100	BTI BOMBARDIER
PRGCK2787	BTI CZECH REPUBLIC  API
PARBQ2100	BTI FRANCE
PARBQ28CC	BTI FRANCE
HAML128AK	BTO24 BUSINESS TRAVEL ORGANIZER
GRQN22800	BUSINESS + TRAVEL
GRZLB28AG	BUSINESS PLUS
MIA1A0982	BUSINESS SOLUTION
RNO1S38AC	BUSINESS TRAVEL AND TOURS
MEXMX28AH	BUSINESS TRAVEL CONSULTING
LAX1S21P9	C & H INTERNATIONAL
DCA1S213N	C & H INTERNATIONAL
DCA1S212U	C & H INTERNATIONAL
LAX1S21ZP	C & H INTERNATIONAL
ODBI12804	CALIFAL
PMII12315	CAMPINS
MVDUY28AT	CAMPOMAR Y ALVARIZA
GDNPQ38ZZ	CAMPUS SP. Z O. O.
RIOB228B7	CANAA REPRESENTACOES E TURISMO LTDA
ASUY228AI	CANADA VIAJES
YVRC438AJ	CANFOR (HUME COPERATE TRAVEL)
BRUBG28CA	CAPEVASION OID
BSBB228AJ	CAPRI TUR PSGNS E EXCURSOES LTDA
BUDHU26AK	CAR TOUR INTERNATIONAL
BUDHU28AL	CAR TOUR INTERNATIONAL
SJO1S38AF	CARAVANA
ALCI12761	CARIBBEAN AG DE VIAJES
PMVV128AK	CARIBBEAN-TRIP.COM
